time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,1,1,0,0
2026-06-08 00:00:00+00:00,23,8,0,0
2026-06-09 00:00:00+00:00,28,9,0,0
2026-06-10 00:00:00+00:00,15,6,0,0
2026-06-11 00:00:00+00:00,17,6,0,0
2026-06-12 00:00:00+00:00,25,9,0,0
2026-06-13 00:00:00+00:00,11,5,0,0
2026-06-14 00:00:00+00:00,31,10,0,0
2026-06-15 00:00:00+00:00,13,6,0,0
2026-06-16 00:00:00+00:00,25,9,0,0
2026-06-17 00:00:00+00:00,28,10,0,0
2026-06-18 00:00:00+00:00,33,10,0,0
2026-06-19 00:00:00+00:00,34,10,0,0
2026-06-20 00:00:00+00:00,43,9,0,0
